seq,sqcand,n,nm,cc,nv,e,st,dvt,vap,pvap,turno,totalizacao_final,uf
4,220001123081,27,PAULO DO CARTÓRIO,DC,VANDERLEY RAASCH,n,Não eleito,Válido,326,"   2,48",1,s,ro
1,220001187738,19,GIO DAMO,PODE - PL / PODE,ROBSON UGOLINI,s,Eleito,Válido,7536,"  57,44",1,s,ro
3,220000768332,13,PROFESSOR ADEMAR,PT,VICTOR,n,Não eleito,Válido,732,"   5,58",1,s,ro
2,220001055240,12,VANTUIL DO POSTO,PDT - PSB / DEM / PSD / PDT,ALVARO BUENO,n,Não eleito,Válido,4526,"  34,50",1,s,ro
3,220001191945,25,LUCAS FOLLADOR,DEM - PL / PTC / PSD / DEM / PMN / PSDB / AVANTE / PSC / PODE / PROS,WILSON BERTOLI PEIXEIRO,n,Não eleito,Válido,12414,"  29,71",1,s,ro
5,220001145724,15,GILVAN RAMOS,MDB,CAPITÃO LIMA,n,Não eleito,Anulado sub judice,1399,"   3,35",1,s,ro
4,220000996549,13,CLEBES DIAS,PT - PC do B / PT,PROFESSORA PENHA,n,Não eleito,Válido,1452,"   3,48",1,s,ro
1,220001190805,51,CARLA REDANO,PATRIOTA,SARGENTO GABRIEL,s,Eleito,Válido,13345,"  31,94",1,s,ro
2,220001189299,77,TIZIU JIDALIAS,SOLIDARIEDADE - PSL / PSB / PV / SOLIDARIEDADE / PRTB / PP / DC / PDT,MARLEI MEZZOMO,n,Não eleito,Válido,13172,"  31,53",1,s,ro
1,220000955267,11,IZAEL,PP - PV / PP / DEM / PDT / SOLIDARIEDADE,CHICAO,s,Eleito,Válido,2242,"  61,76",1,s,ro
3,220001137117,51,ADILSON FAGUNDES,PATRIOTA,JÉSSICA DOS ANJOS,n,Não eleito,Válido,200,"   5,51",1,s,ro
2,220001193423,45,ROSELY BARROSO,PSDB - PSDB / MDB,GALERA,n,Não eleito,Válido,1188,"  32,73",1,s,ro
2,220001268453,25,VASQUES,DEM - MDB / PSC / SOLIDARIEDADE / PATRIOTA / PTB / PSL / DEM,LYA DA TV,n,Não eleito,Válido,12692,"  30,04",1,s,ro
1,220001025502,55,ADAILTON FURIA,PSD - PSD / PP / PDT / REPUBLICANOS / PSDB / PODE / PSB,CASSIO GOIS,s,Eleito,Válido,25791,"  61,04",1,s,ro
3,220001198451,90,JABÁ MOREIRA,PROS - PROS / PRTB / PL / CIDADANIA,CLOVIS SILVA,n,Não eleito,Válido,3220,"   7,62",1,s,ro
4,220001267675,27,REGINA ENFERMEIRA,DC,SARA RUBIO,n,Não eleito,Válido,548,"   1,30",1,s,ro
3,220000750651,15,CLEITON CAPANEMA,MDB - MDB / PSB,CHICÃO,n,Não eleito,Válido,2177,"  24,39",1,s,ro
2,220000745959,25,SINÉSIO JOSÉ,DEM - DEM / PTB,POLICIAL VALMIR,n,Não eleito,Válido,3008,"  33,70",1,s,ro
1,220001005073,43,LISETE MARTH,PV - PP / PSL / PV / PDT / PATRIOTA,PROF. JOSÉ CARLOS VALENDORFF,s,Eleito,Válido,3741,"  41,91",1,s,ro
2,220001010804,43,EDINHO DA RADIO,PV - PTB / MDB / DEM / PV,JOSEMAR BEATTO,n,Não eleito,Válido,2239,"  25,10",1,s,ro
3,220000957713,11,JONSON,PP - PATRIOTA / PP,HENRRY HATTORI,n,Não eleito,Anulado sub judice,2000,"  22,42",1,s,ro
4,220000835461,19,ATAIDE AVEZAO,PODE,ANA FLAVIA,n,Não eleito,Válido,786,"   8,81",1,s,ro
1,220001066451,40,PROF RIBAMAR,PSB - PDT / PSD / PSDB / REPUBLICANOS / PSB,JOAO DO FORMULA UM,s,Eleito,Válido,3895,"  43,67",1,s,ro
3,220000663093,11,DEOCLECIANO DA DIZAL,PP - PV / PP / PTB,CHICO ORLANDO,n,Não eleito,Válido,706,"  16,34",1,s,ro
4,220001262899,45,JUNIOR MARCON,PSDB,JULIANA,n,Não eleito,Válido,351,"   8,12",1,s,ro
2,220000862759,12,LAERCIO,PDT - PDT / PT,TEREZINHA DO SINDICATO,n,Não eleito,Válido,1178,"  27,26",1,s,ro
1,220000649931,40,LEANDRO DA SAÚDE,PSB - PSB / DEM,MARCELO CRISOSTOMO,s,Eleito,Válido,2087,"  48,29",1,s,ro
2,220001054362,55,PROFESSOR SERGINHO,PSD - DEM / PSD,PROFESSORA SILENE,n,Não eleito,Válido,1691,"  26,10",1,s,ro
1,220000775161,10,MIRANDÃO,REPUBLICANOS - REPUBLICANOS / PP,CLAUDIO DA NOVA,s,Eleito,Válido,4789,"  73,90",1,s,ro
4,220000837302,12,DALTINHO DA AGROMIL,PDT,ERICK CABEÇÃO,n,Não eleito,Válido,1674,"  10,35",1,s,ro
2,220001252199,15,DECIO LAGARES,MDB - REPUBLICANOS / MDB,ELIOTERIO,n,Não eleito,Anulado sub judice,4586,"  28,35",1,s,ro
1,220000744274,19,PROFESSOR WELITON,PODE - PODE / PP / PROS,DARCI KISCHENER,s,Eleito,Válido,7829,"  48,39",1,s,ro
3,220001252132,25,ESPETO,DEM - PSB / DEM / PT,KISSILA PONATH,n,Não eleito,Válido,2089,"  12,91",1,s,ro
10,220000738725,55,GERSON MAIA,PSD,RASSENE ABRAHIM,n,Não eleito,Válido,299,"   1,57",1,s,ro
8,220000671881,70,MAURÍCIO DIBAS,AVANTE,EDUARDO ASSUNÇÃO,n,Não eleito,Válido,455,"   2,40",1,s,ro
9,220001005836,13,PROFA LILIAN,PT,DANI GIL,n,Não eleito,Válido,400,"   2,11",1,s,ro
3,220000977510,43,DRA TAISSA SOUSA,PV - PROS / PSC / PV,LUIZ NEGUINHO,n,Não eleito,Válido,3463,"  18,24",1,s,ro
2,220000751294,51,JOAO SOARES,PATRIOTA - PATRIOTA / PDT,NETINHO,n,Não eleito,Válido,4284,"  22,56",1,s,ro
6,220001252077,40,DR AURISON FLORENTINO,PSB,CRISTIELY DE SOUZA,n,Não eleito,Válido,908,"   4,78",1,s,ro
5,220001157553,17,CAÇADOR,PSL,SANDRA REIS,n,Não eleito,Válido,926,"   4,88",1,s,ro
4,220000751297,10,VIRGILIO GOMES,REPUBLICANOS,NASCIMENTO,n,Não eleito,Válido,3167,"  16,68",1,s,ro
1,220000955987,15,RAISSA BENTO,MDB - PODE / MDB / PSDB,MARY GRANEMANN,s,Eleito,Válido,4575,"  24,09",1,s,ro
7,220001252037,22,NAIFE,PL,CARLITO DO PEIXE,n,Não eleito,Válido,511,"   2,69",1,s,ro
2,220001130772,14,AMAURI,PTB - PSB / PV / PROS / REPUBLICANOS / PODE / PTB / PSD,PARLOTE,n,Não eleito,Anulado sub judice,8610,"  30,35",1,s,ro
1,220000667626,45,JOÃO GONÇALVES JR,PSDB - PP / MDB / PSL / PL / CIDADANIA / DEM / PSDB / PATRIOTA,JEVERSON LIMA,s,Eleito,Válido,19357,"  68,24",1,s,ro
3,220000654331,28,SANTANA,PRTB,ELIAS TEIXEIRA,n,Não eleito,Válido,398,"   1,40",1,s,ro
4,220001266918,12,JULIAN CUADAL,PDT - PDT / PL / PSB / PSDB / DEM / PSD / SOLIDARIEDADE,ANARU,n,Não eleito,Válido,8358,"  14,68",1,s,ro
5,220001050484,13,CLÁUDIA DE JESUS,PT,DIVAN MACEDO,n,Não eleito,Válido,7885,"  13,85",1,s,ro
3,220001049846,11,DR JOAO DURVAL,PP - PP / PSC,ESEQUIEL BARBOSA,n,Não eleito,Válido,10456,"  18,36",1,s,ro
1,220000791439,15,ISAU FONSECA,MDB - MDB / PTB / PROS,JOAQUIM TEIXEIRA,s,Eleito,Válido,15699,"  27,57",1,s,ro
6,220000791644,28,DR LINCOLN ASTRE,PRTB,DRA MADALENA ALENCAR,n,Não eleito,Válido,3247,"   5,70",1,s,ro
2,220001241045,10,JHONY PAIXÃO,REPUBLICANOS - PATRIOTA / REPUBLICANOS / PSL / PODE,JOSE MOITA,n,Não eleito,Válido,11301,"  19,85",1,s,ro
8,220000685123,40,DR. BANDEIRA,PSB,JOÃO DO ESTRELA AZUL,n,Não eleito,Válido,234,"   1,57",1,s,ro
7,220001152912,90,CIDÃO DO PROS,PROS,ZEZÃO MALDONADO,n,Não eleito,Válido,369,"   2,48",1,s,ro
4,220000744299,43,MARINHO,PV - PSDB / PV,GABRIEL GIRARDI,n,Não eleito,Válido,1402,"   9,42",1,s,ro
6,220001063464,51,EDSON WELTEN,PATRIOTA - AVANTE / PATRIOTA,PROF AILTON TRINDADE,n,Não eleito,Válido,833,"   5,60",1,s,ro
3,220000663374,10,EZEQUIEL JUNIOR,REPUBLICANOS - REPUBLICANOS / PODE / PSL,SARGENTO ROBERTO,n,Não eleito,Válido,1792,"  12,04",1,s,ro
2,220001064639,77,LEOMAR PATRICIO,SOLIDARIEDADE - PT / SOLIDARIEDADE / PP,JOAO DO BEC,n,Não eleito,Válido,3473,"  23,34",1,s,ro
1,220000661439,25,PAULO DA REMAP,DEM - DEM / PDT,CLÁUDIO DA RONDO MOTOS,s,Eleito,Válido,5584,"  37,53",1,s,ro
5,220000824373,15,CELSO COELHO,MDB - PTB / MDB,AÉCIO,n,Não eleito,Válido,1193,"   8,02",1,s,ro
2,220000649456,25,SILAS BORGES,DEM - PDT / MDB / PL / DEM / PSB / PSDB / SOLIDARIEDADE / PROS / PSC / REPUBLICANOS,VANDÃO,n,Não eleito,Válido,4491,"  46,38",1,s,ro
1,220000881712,11,HELIO MENDES,PP - PP / PSD / PSL,ALTEME DA 13,s,Eleito,Válido,4537,"  46,86",1,s,ro
3,220000684711,13,PROFESSOR EMERSON,PT,NEUZA MACHADO,n,Não eleito,Válido,655,"   6,76",1,s,ro
1,220001200095,25,ALEX TESTONI,DEM - PROS / PODE / PDT / PSD / PSDB / REPUBLICANOS / DEM,DR PERAGIBE FELIX,s,Eleito,Válido,9961,"  50,74",1,s,ro
2,220000941426,15,VAGNO PANISOLY,MDB - MDB / PV / DC,ELIENAI POCIDÔNIO,n,Não eleito,Válido,9671,"  49,26",1,s,ro
1,220000773053,51,DELEGADO ARAUJO,PATRIOTA - PSL / PSB / PATRIOTA / REPUBLICANOS / DEM / PMN / PSDB,VALTEIR CRUZ,s,Eleito,Válido,13331," 100,00",1,s,ro
11,220001105767,14,LEONEL BERTOLIN,PTB - PTB / DC,DR. IVO BENITEZ,n,Não eleito,Válido,1624,"   0,74",1,s,ro
2,220001172317,11,CRISTIANE LOPES,PP - PP / PROS,DELEGADO PEDRO MANCEBO,s,2º turno,Válido,31461,"  14,32",1,s,ro
5,220001181050,77,CORONEL RONALDO FLORES,SOLIDARIEDADE - SOLIDARIEDADE / PV / PSB / PMN,PASTORA CILA,n,Não eleito,Válido,16750,"   7,62",1,s,ro
13,220001083155,50,PIMENTA DE RONDÔNIA,PSOL,PASTOR RAIMUNDO,n,Não eleito,Válido,1180,"   0,54",1,s,ro
14,220001273642,28,PASTOR LEONARDO LUZ,PRTB,ROMANO MOREY,n,Não eleito,Válido,741,"   0,34",1,s,ro
12,220000685117,65,SAMUEL COSTA,PC do B,PROFESSOR PANTERA,n,Não eleito,Válido,1229,"   0,56",1,s,ro
3,220001169383,23,VINICIUS MIGUEL,CIDADANIA - CIDADANIA / REDE / PDT,HELINE BRAGA,n,Não eleito,Válido,29369,"  13,36",1,s,ro
9,220001082524,17,SARGENTO EYDER BRASIL,PSL,TENENTE COSTA,n,Não eleito,Válido,5620,"   2,56",1,s,ro
6,220001081445,10,LINDOMAR GARÇON,REPUBLICANOS,CABO MILENE BARRETO,n,Não eleito,Válido,12061,"   5,49",1,s,ro
8,220001170262,13,RAMON CUJUI,PT,DR LHANO,n,Não eleito,Válido,7069,"   3,22",1,s,ro
1,220001051415,45,HILDON CHAVES,PSDB - PSD / PL / PSDB / DEM,MAURICIO CARVALHO,s,2º turno,Válido,74728,"  34,01",1,s,ro
10,220001138361,20,EDVALDO SOARES,PSC,ROSI MUNIZ,n,Não eleito,Válido,4154,"   1,89",1,s,ro
7,220001221000,15,PIMENTEL,MDB,MARCO ANTÔNIO,n,Não eleito,Válido,8195,"   3,73",1,s,ro
4,220001225148,70,DR. BRENO MENDES,AVANTE - PATRIOTA / AVANTE,PASTOR JOZINELIO,n,Não eleito,Válido,25270,"  11,50",1,s,ro
15,220000638048,16,GENECI GONÇALVES,PSTU,VITOR ROCHA,n,Não eleito,Válido,298,"   0,14",1,s,ro
4,220001227055,28,DR GILVAN DE CASTRO,PRTB - PT / PRTB,JORGE DO ZELÃO,n,Não eleito,Válido,442,"   4,19",1,s,ro
1,220001056527,45,EDILSON ALENCAR,PSDB - PSDB / MDB / DEM,ZÉ CARLOS DO MORUMBI,s,Eleito,Válido,5202,"  49,31",1,s,ro
3,220000927852,19,HANDERSON BRITO ,PODE - PODE / PROS / PSB,JADERSON COLARES,n,Não eleito,Válido,1261,"  11,95",1,s,ro
2,220001057737,55,TÓDINHA,PSD - PDT / PSL / SOLIDARIEDADE / PSD,TENENTE DANIEL,n,Não eleito,Válido,3645,"  34,55",1,s,ro
1,220000661798,55,LEZÃO,PSD - REPUBLICANOS / DEM / PSD,CASSIANE,s,Eleito,Válido,1613,"  62,86",1,s,ro
2,220000890308,15,EUDES,MDB - MDB / PP,TATU,n,Não eleito,Válido,828,"  32,27",1,s,ro
3,220000846936,12,DR AGUINALDO,PDT,ISAIAS BOTINHA,n,Não eleito,Válido,125,"   4,87",1,s,ro
5,220001057478,55,RAFAEL GODOI,PSD,DIEGO TASSI,n,Não eleito,Válido,2876,"  11,54",1,s,ro
4,220000858838,10,DR LAURO,REPUBLICANOS - REPUBLICANOS / PATRIOTA,JULIANO CAMPOS,n,Não eleito,Válido,3667,"  14,71",1,s,ro
1,220000859428,15,ALDO JULIO,MDB - PL / PTB / PDT / MDB,ALCIDES ROSA,s,Eleito,Válido,9064,"  36,36",1,s,ro
2,220000859779,19,UENDER NOGUEIRA,PODE - PODE / DC / PSL,SILMA PEREIRA,n,Não eleito,Válido,5186,"  20,81",1,s,ro
3,220001058827,77,PROFESSOR RODNEI PAES,SOLIDARIEDADE - DEM / PSB / PT / SOLIDARIEDADE,MARCIO MATEUS,n,Não eleito,Válido,4133,"  16,58",1,s,ro
1,220000773198,19,JURANDIR DE OLIVEIRA,PODE - PSD / DEM / PSB / PODE,NEY,s,Eleito,Válido,2755,"  55,29",1,s,ro
2,220000987854,51,PERITO VARK,PATRIOTA - MDB / PDT / PATRIOTA / REPUBLICANOS,PR NILSON,n,Não eleito,Válido,2228,"  44,71",1,s,ro
2,220001191485,20,ROSANI DONADON,PSC - MDB / DEM / PMN / PSC,MARCIA DEIRÓ,n,Não eleito,Válido,13882,"  33,47",1,s,ro
4,220000732017,10,PAULINHO DA ARGAMAZON,REPUBLICANOS,TENENTE BUENO,n,Não eleito,Válido,2547,"   6,14",1,s,ro
5,220000767236,40,MIGUEL CAMARA,PSB - PC do B / PSB / DC,ANA FEITOSA,n,Não eleito,Válido,952,"   2,29",1,s,ro
3,220000924296,19,CORONEL RILDO,PODE - PSL / PODE / CIDADANIA,DR. CELSO,n,Não eleito,Válido,7387,"  17,81",1,s,ro
1,220000955009,43,EDUARDO JAPONÊS,PV - PV / PDT / PL / PTB / PP / PSD / PSDB / PROS,PATRICIA DA GLÓRIA,s,Eleito,Válido,16714,"  40,29",1,s,ro
